Element.Name,Category.Name,ElementType.Name,ElementType.FamilyName
573662,Walls,Basic Wall,STB 30.0,a,BoundingBox(MinPoint = Point(X = 21105.589, Y = 40555.281, Z = 94.172), MaxPoint = Point(X = 24005.589, Y = 40855.281, Z = 3800.000))
573663,Walls,Basic Wall,STB 20.0,l,BoundingBox(MinPoint = Point(X = -4417.903, Y = -12848.765, Z = 94.172), MaxPoint = Point(X = 9371.068, Y = -12648.765, Z = 10600.000))
573664,Walls,Curtain Wall,Standard,],BoundingBox(MinPoint = Point(X = 50282.156, Y = -13194.719, Z = 3800.000), MaxPoint = Point(X = 52932.097, Y = -12194.719, Z = 10600.000))
573689,Walls,Basic Wall,MW 17.5,,,BoundingBox(MinPoint = Point(X = -1517.903, Y = -4677.219, Z = 3800.000), MaxPoint = Point(X = 9371.068, Y = -4502.219, Z = 7000.000))
573690,Walls,Basic Wall,MW 17.5,[,BoundingBox(MinPoint = Point(X = -1517.903, Y = -6932.219, Z = 3800.000), MaxPoint = Point(X = 4371.068, Y = -6757.219, Z = 7000.000))
573691,Walls,Basic Wall,MW 17.5,M,BoundingBox(MinPoint = Point(X = 1194.597, Y = -12748.765, Z = 3800.000), MaxPoint = Point(X = 1369.597, Y = -4589.719, Z = 7000.000))
573696,Walls,Basic Wall,MW 17.5,a,BoundingBox(MinPoint = Point(X = 4371.068, Y = -6932.219, Z = 3800.000), MaxPoint = Point(X = 5971.068, Y = -6757.219, Z = 7000.000))
573697,Walls,Basic Wall,MW 17.5,t,BoundingBox(MinPoint = Point(X = 5971.068, Y = -6932.219, Z = 3800.000), MaxPoint = Point(X = 6146.068, Y = -4589.719, Z = 7000.000))
573700,Walls,Basic Wall,MW 17.5,e,BoundingBox(MinPoint = Point(X = 7496.068, Y = -6844.719, Z = 3800.000), MaxPoint = Point(X = 7671.068, Y = -4589.719, Z = 7000.000))
573703,Walls,Basic Wall,STB 20.0,r,BoundingBox(MinPoint = Point(X = 6871.068, Y = -12748.765, Z = 3800.000), MaxPoint = Point(X = 7071.068, Y = -6844.719, Z = 7000.000))
573704,Walls,Basic Wall,MW 17.5,i,BoundingBox(MinPoint = Point(X = -1517.903, Y = -4677.219, Z = 7300.000), MaxPoint = Point(X = 9371.068, Y = -4502.219, Z = 10600.000))
